filename,category,title
143MD.PDF,Commercial_Banks,"Reserve Bank of India (Universal Banks- Licensing) Guidelines, 2025"
144MD.PDF,Commercial_Banks,"Banks) Guidelines, 2025"
145MD.PDF,Commercial_Banks,"or Voting Rights) Directions, 2025"
146MD.PDF,Commercial_Banks,"Directions, 2025"
147MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks - Branch Authorisation) Directions,"
148MD.PDF,Commercial_Banks,"Directions, 2025"
149MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks - Governance) Directions, 2025"
150MD.PDF,Commercial_Banks,"Liquidity Ratio) Directions, 2025"
151MD.PDF,Commercial_Banks,"Adequacy) Directions, 2025"
152MD.PDF,Commercial_Banks,"Directions, 2025"
153MD.PDF,Commercial_Banks,"Directions, 2025"
154MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks – Credit Facilities) Directions,"
155MD.PDF,Commercial_Banks,"Issuance and Conduct) Directions, 2025"
156MD.PDF,Commercial_Banks,"Directions, 2025"
157MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks – Credit Risk Management) Directions,"
158MD.PDF,Commercial_Banks,"Directions, 2025"
159MD.PDF,Commercial_Banks,"Risk) Directions, 2025"
160MD.PDF,Commercial_Banks,"Directions, 2025"
161MD.PDF,Commercial_Banks,"Directions, 2025"
162MD.PDF,Commercial_Banks,"Operation of Investment Portfolio) Directions, 2025"
163MD.PDF,Commercial_Banks,"Directions, 2025"
164MD.PDF,Commercial_Banks,"Classification and Provisioning) Directions, 2025"
165MD.PDF,Commercial_Banks,"Directions, 2025"
166MD.PDF,Commercial_Banks,"and Large Defaulters) Directions, 2025"
167MD.PDF,Commercial_Banks,"Presentation and Disclosures) Directions, 2025"
169MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks – Know Your Customer) Directions,"
170MD.PDF,Commercial_Banks,"Directions, 2025"
171MD.PDF,Commercial_Banks,"Directions, 2025"
172MD.PDF,Commercial_Banks,"of Climate Change Risks) Directions, 2025"
173MD.PDF,Commercial_Banks,"Directions, 2025"
174MD.PDF,Commercial_Banks,"Reserve Bank of India (Commercial Banks – Miscellaneous) Directions, 2025"
339MD7166A79E96D64572B378949D3972DBD1.PDF,NBFC,"Exemptions and Framework for Scale Based Regulation) Directions, 2025"
340MD4B77ED4B942E4F9FBECA5673D0360BA3.PDF,NBFC,"Shareholding or Control) Directions, 2025"
341MDDF7F3A9C8BF2439D828E773D444D7FD3.PDF,NBFC,"Amalgamation) Directions, 2025"
342MD6D0E541E684A451BB4BB80C4819B2BB1.PDF,NBFC,"Authorisation) Directions, 2025"
343MD54448C9FA65A429BB5AFADBB162904F1.PDF,NBFC,"Financial Services) Directions, 2025"
344MD22F0E87F6DD848919A6459236939D76F.PDF,NBFC,Directions
345MDAB71EF5B2D534D7B92C654742BDF9A77.PDF,NBFC,"on Capital Adequacy) Directions, 2025"
346MD6C1FC3FFE3E84415B12A1C05642FD3E3.PDF,NBFC,"Public Deposits) Directions, 2025"
347MD5CC21D3597C04354B67A42A1A4CB439C.PDF,NBFC,"Directions, 2025"
348MD993245D8570047299D1814811F20AFEE.PDF,NBFC,"Issuance and Conduct) Directions, 2025"
349MD04B1F5EC16D84779BC61D9CC40552401.PDF,NBFC,"Information Reporting) Directions, 2025"
350MDEF81E70DAB50429898EB2CF07BBCA09E.PDF,NBFC,"Management) Directions, 2025"
351MD74108723E6DA484E954DB9D2C7ED184C.PDF,NBFC,"Management) Directions, 2025"
354MD1F909E42C44E481085D47ECF16A9EE26.PDF,NBFC,"Valuation, and Operation of Investment Portfolio) Directions, 2025"
355MDDFD8E87964DD4F529248131781B5812F.PDF,NBFC,"Management) Directions, 2025"
356MD4F8109CA54BE44A9805C5300601F8A11.PDF,NBFC,"Recognition, Asset Classification and Provisioning) Directions, 2025"
357MD501BDDC9758E40B592D1AD2D919CC6AF.PDF,NBFC,"Stressed Assets) Directions, 2025"
358MDB0FF0CDD07C04BFAB5A97494E9BB7104.PDF,NBFC,"Wilful Defaulters and Large Defaulters) Directions, 2025"
359MD22B81FAE1AB9481BA79541602ADD032D.PDF,NBFC,"Statements: Presentation and Disclosures) Directions, 2025"
360MD1E07039E1DCA455B8CCB9D0C4BFD4BBE.PDF,NBFC,"on Declaration of Dividends) Directions, 2025"
361MD1E2F8EA063454AD5AFA1D02A1BA5ACA7.PDF,NBFC,"Customer) Directions, 2025"
362MD26CA543937BA439A97E1BCFC08CF5808.PDF,NBFC,"Business Conduct) Directions, 2025"
363MD40F22B0CDF734E3C884A9CBCE5DF9194.PDF,NBFC,"Outsourcing) Directions, 2025"
364MD89C593EA3A124B1491E797D1A752110F.PDF,NBFC,"and Management of Climate Change Risks) Directions, 2025"
